,layer,position,acc,f1
0,0,0,0.6,0.7499999999999999
1,0,1,0.82,0.8695652173913044
2,0,2,0.82,0.8695652173913044
3,0,3,0.82,0.8695652173913044
4,0,4,0.6,0.7499999999999999
5,0,5,1.0,1.0
6,0,6,0.78,0.8450704225352113
7,0,7,0.98,0.9836065573770492
8,0,8,0.78,0.8450704225352113
9,0,9,0.78,0.8450704225352113
10,0,10,0.6,0.7499999999999999
11,0,11,0.68,0.6521739130434783
12,0,12,0.6,0.7499999999999999
13,0,13,0.5,0.5901639344262295
14,0,14,0.6,0.7499999999999999
15,0,15,0.6,0.7499999999999999
16,0,16,0.82,0.8695652173913044
17,0,17,0.82,0.8695652173913044
18,0,18,0.52,0.6
19,0,19,0.64,0.763157894736842
20,0,20,0.6,0.7499999999999999
21,0,21,0.6,0.7499999999999999
22,1,0,0.6,0.7499999999999999
23,1,1,0.82,0.8695652173913044
24,1,2,0.82,0.8695652173913044
25,1,3,0.82,0.8695652173913044
26,1,4,0.82,0.8695652173913044
27,1,5,1.0,1.0
28,1,6,1.0,1.0
29,1,7,0.98,0.9836065573770492
30,1,8,0.98,0.9836065573770492
31,1,9,0.98,0.9836065573770492
32,1,10,0.78,0.8450704225352113
33,1,11,0.86,0.8679245283018869
34,1,12,0.8,0.8571428571428571
35,1,13,0.5,0.5901639344262295
36,1,14,0.62,0.7397260273972602
37,1,15,0.62,0.759493670886076
38,1,16,0.82,0.8695652173913044
39,1,17,0.82,0.8695652173913044
40,1,18,0.66,0.7301587301587302
41,1,19,0.82,0.8695652173913044
42,1,20,0.8,0.8571428571428571
43,1,21,0.74,0.8219178082191781
44,2,0,0.6,0.7499999999999999
45,2,1,0.82,0.8695652173913044
46,2,2,0.82,0.8695652173913044
47,2,3,0.82,0.8695652173913044
48,2,4,0.82,0.8695652173913044
49,2,5,1.0,1.0
50,2,6,1.0,1.0
51,2,7,1.0,1.0
52,2,8,1.0,1.0
53,2,9,0.98,0.9836065573770492
54,2,10,0.98,0.9836065573770492
55,2,11,1.0,1.0
56,2,12,1.0,1.0
57,2,13,0.64,0.689655172413793
58,2,14,0.66,0.7213114754098361
59,2,15,0.7,0.761904761904762
60,2,16,0.9,0.9206349206349207
61,2,17,0.82,0.8615384615384616
62,2,18,0.76,0.8064516129032259
63,2,19,0.76,0.8181818181818182
64,2,20,0.78,0.8307692307692307
65,2,21,0.8,0.8529411764705883
66,3,0,0.6,0.7499999999999999
67,3,1,0.82,0.8695652173913044
68,3,2,0.82,0.8695652173913044
69,3,3,0.82,0.8695652173913044
70,3,4,0.82,0.8695652173913044
71,3,5,1.0,1.0
72,3,6,1.0,1.0
73,3,7,1.0,1.0
74,3,8,1.0,1.0
75,3,9,1.0,1.0
76,3,10,1.0,1.0
77,3,11,1.0,1.0
78,3,12,1.0,1.0
79,3,13,0.62,0.6885245901639343
80,3,14,0.88,0.9032258064516129
81,3,15,0.9,0.923076923076923
82,3,16,0.98,0.9836065573770492
83,3,17,1.0,1.0
84,3,18,0.76,0.8000000000000002
85,3,19,0.82,0.8656716417910447
86,3,20,1.0,1.0
87,3,21,1.0,1.0
88,4,0,0.6,0.7499999999999999
89,4,1,0.82,0.8695652173913044
90,4,2,0.82,0.8695652173913044
91,4,3,0.82,0.8695652173913044
92,4,4,0.82,0.8695652173913044
93,4,5,1.0,1.0
94,4,6,1.0,1.0
95,4,7,1.0,1.0
96,4,8,1.0,1.0
97,4,9,1.0,1.0
98,4,10,1.0,1.0
99,4,11,1.0,1.0
100,4,12,1.0,1.0
101,4,13,0.66,0.7213114754098361
102,4,14,0.86,0.888888888888889
103,4,15,1.0,1.0
104,4,16,1.0,1.0
105,4,17,1.0,1.0
106,4,18,0.82,0.8524590163934426
107,4,19,0.86,0.888888888888889
108,4,20,1.0,1.0
109,4,21,1.0,1.0
110,5,0,0.6,0.7499999999999999
111,5,1,0.82,0.8695652173913044
112,5,2,0.82,0.8695652173913044
113,5,3,0.82,0.8695652173913044
114,5,4,0.82,0.8695652173913044
115,5,5,1.0,1.0
116,5,6,1.0,1.0
117,5,7,1.0,1.0
118,5,8,1.0,1.0
119,5,9,1.0,1.0
120,5,10,1.0,1.0
121,5,11,1.0,1.0
122,5,12,1.0,1.0
123,5,13,0.7,0.7540983606557377
124,5,14,0.94,0.9523809523809523
125,5,15,1.0,1.0
126,5,16,1.0,1.0
127,5,17,1.0,1.0
128,5,18,0.9,0.9206349206349207
129,5,19,0.96,0.967741935483871
130,5,20,1.0,1.0
131,5,21,1.0,1.0
