,layer,position,acc,f1
196,8,20,0.86,0.8599999999999999
197,8,21,0.94,0.94
198,9,0,0.52,0.52
199,9,1,0.6,0.6
200,9,2,0.6,0.6
201,9,3,0.6,0.6
202,9,4,0.6,0.6
203,9,5,1.0,1.0
204,9,6,1.0,1.0
205,9,7,1.0,1.0
206,9,8,1.0,1.0
207,9,9,1.0,1.0
208,9,10,1.0,1.0
209,9,11,1.0,1.0
210,9,12,1.0,1.0
211,9,13,0.54,0.54
212,9,14,0.88,0.88
213,9,15,0.88,0.88
214,9,16,0.94,0.94
215,9,17,0.96,0.96
216,9,18,0.66,0.66
217,9,19,0.82,0.82
218,9,20,0.94,0.94
219,9,21,0.96,0.96
220,10,0,0.52,0.52
221,10,1,0.6,0.6
222,10,2,0.6,0.6
223,10,3,0.6,0.6
224,10,4,0.6,0.6
225,10,5,1.0,1.0
226,10,6,1.0,1.0
227,10,7,1.0,1.0
228,10,8,1.0,1.0
229,10,9,1.0,1.0
230,10,10,1.0,1.0
231,10,11,1.0,1.0
232,10,12,1.0,1.0
233,10,13,0.56,0.56
234,10,14,0.88,0.88
235,10,15,0.88,0.88
236,10,16,1.0,1.0
237,10,17,0.94,0.94
238,10,18,0.68,0.68
239,10,19,0.82,0.82
240,10,20,0.96,0.96
241,10,21,1.0,1.0
242,11,0,0.52,0.52
243,11,1,0.6,0.6
244,11,2,0.6,0.6
245,11,3,0.6,0.6
246,11,4,0.6,0.6
247,11,5,1.0,1.0
248,11,6,1.0,1.0
249,11,7,1.0,1.0
250,11,8,1.0,1.0
251,11,9,1.0,1.0
252,11,10,1.0,1.0
253,11,11,1.0,1.0
254,11,12,1.0,1.0
255,11,13,0.56,0.56
256,11,14,0.92,0.92
257,11,15,0.9,0.9
258,11,16,1.0,1.0
259,11,17,0.96,0.96
260,11,18,0.74,0.74
261,11,19,0.9,0.9
262,11,20,0.98,0.98
263,11,21,1.0,1.0
264,12,0,0.52,0.52
265,12,1,0.6,0.6
266,12,2,0.6,0.6
267,12,3,0.6,0.6
268,12,4,0.6,0.6
269,12,5,1.0,1.0
270,12,6,1.0,1.0
271,12,7,1.0,1.0
272,12,8,1.0,1.0
273,12,9,1.0,1.0
274,12,10,1.0,1.0
275,12,11,1.0,1.0
