,layer,position,acc,f1
0,0,0,0.34,0.34
1,0,1,0.32,0.32
2,0,2,0.37,0.37
3,0,3,1.0,1.0
4,0,4,1.0,1.0
5,0,5,0.72,0.72
6,0,6,1.0,1.0
7,0,7,1.0,1.0
8,0,8,1.0,1.0
9,0,9,0.97,0.97
10,1,0,0.34,0.34
11,1,1,0.32,0.32
12,1,2,0.29,0.29
13,1,3,1.0,1.0
14,1,4,0.98,0.98
15,1,5,0.74,0.74
16,1,6,1.0,1.0
17,1,7,1.0,1.0
18,1,8,1.0,1.0
19,1,9,1.0,1.0
20,2,0,0.34,0.34
21,2,1,0.32,0.32
22,2,2,0.32,0.32
23,2,3,1.0,1.0
24,2,4,1.0,1.0
25,2,5,0.88,0.88
26,2,6,1.0,1.0
27,2,7,1.0,1.0
28,2,8,1.0,1.0
29,2,9,1.0,1.0
30,3,0,0.34,0.34
31,3,1,0.32,0.32
32,3,2,0.31,0.31
33,3,3,1.0,1.0
34,3,4,1.0,1.0
35,3,5,1.0,1.0
36,3,6,1.0,1.0
37,3,7,1.0,1.0
38,3,8,1.0,1.0
39,3,9,1.0,1.0
40,4,0,0.34,0.34
41,4,1,0.32,0.32
42,4,2,0.32,0.32
43,4,3,1.0,1.0
44,4,4,1.0,1.0
45,4,5,1.0,1.0
46,4,6,1.0,1.0
47,4,7,1.0,1.0
48,4,8,1.0,1.0
49,4,9,1.0,1.0
50,5,0,0.34,0.34
51,5,1,0.32,0.32
52,5,2,0.34,0.34
53,5,3,1.0,1.0
54,5,4,1.0,1.0
55,5,5,1.0,1.0
56,5,6,1.0,1.0
57,5,7,1.0,1.0
58,5,8,1.0,1.0
59,5,9,1.0,1.0
60,6,0,0.34,0.34
61,6,1,0.32,0.32
62,6,2,0.33,0.33
63,6,3,1.0,1.0
64,6,4,1.0,1.0
65,6,5,1.0,1.0
66,6,6,1.0,1.0
67,6,7,1.0,1.0
68,6,8,1.0,1.0
69,6,9,1.0,1.0
70,7,0,0.34,0.34
71,7,1,0.34,0.34
72,7,2,0.33,0.33
73,7,3,1.0,1.0
74,7,4,1.0,1.0
75,7,5,1.0,1.0
76,7,6,1.0,1.0
77,7,7,1.0,1.0
78,7,8,1.0,1.0
79,7,9,1.0,1.0
80,8,0,0.34,0.34
81,8,1,0.33,0.33
82,8,2,0.33,0.33
83,8,3,1.0,1.0
84,8,4,1.0,1.0
85,8,5,1.0,1.0
86,8,6,1.0,1.0
87,8,7,1.0,1.0
88,8,8,1.0,1.0
89,8,9,1.0,1.0
90,9,0,0.34,0.34
91,9,1,0.33,0.33
92,9,2,0.31,0.31
93,9,3,1.0,1.0
94,9,4,1.0,1.0
95,9,5,1.0,1.0
96,9,6,1.0,1.0
97,9,7,1.0,1.0
98,9,8,1.0,1.0
99,9,9,1.0,1.0
100,10,0,0.34,0.34
101,10,1,0.35,0.35
102,10,2,0.35,0.35
103,10,3,1.0,1.0
104,10,4,1.0,1.0
105,10,5,1.0,1.0
106,10,6,1.0,1.0
107,10,7,1.0,1.0
108,10,8,1.0,1.0
109,10,9,1.0,1.0
110,11,0,0.34,0.34
111,11,1,0.34,0.34
112,11,2,0.34,0.34
113,11,3,1.0,1.0
114,11,4,1.0,1.0
115,11,5,1.0,1.0
116,11,6,1.0,1.0
117,11,7,1.0,1.0
118,11,8,1.0,1.0
119,11,9,1.0,1.0
