,layer,position,acc,f1
0,0,0,0.32,0.32
1,0,1,0.4,0.4000000000000001
2,0,2,0.36,0.36
3,0,3,1.0,1.0
4,0,4,1.0,1.0
5,0,5,0.76,0.76
6,0,6,1.0,1.0
7,0,7,1.0,1.0
8,0,8,1.0,1.0
9,0,9,1.0,1.0
10,1,0,0.32,0.32
11,1,1,0.41,0.41
12,1,2,0.39,0.39
13,1,3,1.0,1.0
14,1,4,1.0,1.0
15,1,5,0.75,0.75
16,1,6,0.98,0.98
17,1,7,1.0,1.0
18,1,8,1.0,1.0
19,1,9,0.98,0.98
20,2,0,0.32,0.32
21,2,1,0.4,0.4000000000000001
22,2,2,0.39,0.39
23,2,3,1.0,1.0
24,2,4,1.0,1.0
25,2,5,0.73,0.7299999999999999
26,2,6,1.0,1.0
27,2,7,1.0,1.0
28,2,8,1.0,1.0
29,2,9,1.0,1.0
30,3,0,0.32,0.32
31,3,1,0.4,0.4000000000000001
32,3,2,0.41,0.41
33,3,3,1.0,1.0
34,3,4,1.0,1.0
35,3,5,0.85,0.85
36,3,6,1.0,1.0
37,3,7,1.0,1.0
38,3,8,1.0,1.0
39,3,9,1.0,1.0
40,4,0,0.32,0.32
41,4,1,0.38,0.38
42,4,2,0.42,0.41999999999999993
43,4,3,1.0,1.0
44,4,4,1.0,1.0
45,4,5,0.92,0.92
46,4,6,1.0,1.0
47,4,7,1.0,1.0
48,4,8,1.0,1.0
49,4,9,1.0,1.0
50,5,0,0.32,0.32
51,5,1,0.4,0.4000000000000001
52,5,2,0.37,0.37
53,5,3,1.0,1.0
54,5,4,1.0,1.0
55,5,5,1.0,1.0
56,5,6,1.0,1.0
57,5,7,1.0,1.0
58,5,8,1.0,1.0
59,5,9,1.0,1.0
60,6,0,0.32,0.32
61,6,1,0.38,0.38
62,6,2,0.37,0.37
63,6,3,1.0,1.0
64,6,4,1.0,1.0
65,6,5,1.0,1.0
66,6,6,1.0,1.0
67,6,7,1.0,1.0
68,6,8,1.0,1.0
69,6,9,1.0,1.0
70,7,0,0.32,0.32
71,7,1,0.38,0.38
72,7,2,0.37,0.37
73,7,3,1.0,1.0
74,7,4,1.0,1.0
75,7,5,1.0,1.0
76,7,6,1.0,1.0
77,7,7,1.0,1.0
78,7,8,1.0,1.0
79,7,9,1.0,1.0
80,8,0,0.32,0.32
81,8,1,0.4,0.4000000000000001
82,8,2,0.39,0.39
83,8,3,1.0,1.0
84,8,4,1.0,1.0
85,8,5,1.0,1.0
86,8,6,1.0,1.0
87,8,7,1.0,1.0
88,8,8,1.0,1.0
89,8,9,1.0,1.0
90,9,0,0.32,0.32
91,9,1,0.4,0.4000000000000001
92,9,2,0.38,0.38
93,9,3,1.0,1.0
94,9,4,1.0,1.0
95,9,5,1.0,1.0
96,9,6,1.0,1.0
97,9,7,1.0,1.0
98,9,8,1.0,1.0
99,9,9,1.0,1.0
100,10,0,0.32,0.32
101,10,1,0.39,0.39
102,10,2,0.38,0.38
103,10,3,1.0,1.0
104,10,4,1.0,1.0
105,10,5,1.0,1.0
106,10,6,1.0,1.0
107,10,7,1.0,1.0
108,10,8,1.0,1.0
109,10,9,1.0,1.0
110,11,0,0.32,0.32
111,11,1,0.4,0.4000000000000001
112,11,2,0.39,0.39
113,11,3,1.0,1.0
114,11,4,1.0,1.0
115,11,5,1.0,1.0
116,11,6,1.0,1.0
117,11,7,1.0,1.0
118,11,8,1.0,1.0
119,11,9,1.0,1.0
120,12,0,0.32,0.32
121,12,1,0.38,0.38
122,12,2,0.42,0.41999999999999993
123,12,3,1.0,1.0
124,12,4,1.0,1.0
125,12,5,1.0,1.0
126,12,6,1.0,1.0
127,12,7,1.0,1.0
128,12,8,1.0,1.0
129,12,9,1.0,1.0
130,13,0,0.32,0.32
131,13,1,0.41,0.41
132,13,2,0.42,0.41999999999999993
133,13,3,1.0,1.0
134,13,4,1.0,1.0
135,13,5,1.0,1.0
136,13,6,1.0,1.0
137,13,7,1.0,1.0
138,13,8,1.0,1.0
139,13,9,1.0,1.0
140,14,0,0.32,0.32
141,14,1,0.4,0.4000000000000001
142,14,2,0.4,0.4000000000000001
143,14,3,1.0,1.0
144,14,4,1.0,1.0
145,14,5,1.0,1.0
146,14,6,1.0,1.0
147,14,7,1.0,1.0
148,14,8,1.0,1.0
149,14,9,1.0,1.0
150,15,0,0.32,0.32
151,15,1,0.4,0.4000000000000001
152,15,2,0.41,0.41
153,15,3,1.0,1.0
154,15,4,1.0,1.0
155,15,5,1.0,1.0
156,15,6,1.0,1.0
157,15,7,1.0,1.0
158,15,8,1.0,1.0
159,15,9,1.0,1.0
160,16,0,0.32,0.32
161,16,1,0.4,0.4000000000000001
162,16,2,0.39,0.39
163,16,3,1.0,1.0
164,16,4,1.0,1.0
165,16,5,1.0,1.0
166,16,6,1.0,1.0
167,16,7,1.0,1.0
168,16,8,1.0,1.0
169,16,9,1.0,1.0
170,17,0,0.32,0.32
171,17,1,0.38,0.38
172,17,2,0.42,0.41999999999999993
173,17,3,1.0,1.0
174,17,4,1.0,1.0
175,17,5,1.0,1.0
176,17,6,1.0,1.0
177,17,7,1.0,1.0
178,17,8,1.0,1.0
179,17,9,1.0,1.0
180,18,0,0.32,0.32
181,18,1,0.38,0.38
182,18,2,0.43,0.42999999999999994
183,18,3,1.0,1.0
184,18,4,1.0,1.0
185,18,5,1.0,1.0
186,18,6,1.0,1.0
187,18,7,1.0,1.0
188,18,8,1.0,1.0
189,18,9,1.0,1.0
190,19,0,0.32,0.32
191,19,1,0.39,0.39
192,19,2,0.42,0.41999999999999993
193,19,3,1.0,1.0
194,19,4,1.0,1.0
195,19,5,1.0,1.0
196,19,6,1.0,1.0
197,19,7,1.0,1.0
198,19,8,1.0,1.0
199,19,9,1.0,1.0
200,20,0,0.32,0.32
201,20,1,0.37,0.37
202,20,2,0.41,0.41
203,20,3,1.0,1.0
204,20,4,1.0,1.0
205,20,5,1.0,1.0
206,20,6,1.0,1.0
207,20,7,1.0,1.0
208,20,8,1.0,1.0
209,20,9,1.0,1.0
210,21,0,0.32,0.32
211,21,1,0.37,0.37
212,21,2,0.41,0.41
213,21,3,1.0,1.0
214,21,4,1.0,1.0
215,21,5,1.0,1.0
216,21,6,1.0,1.0
217,21,7,1.0,1.0
218,21,8,1.0,1.0
219,21,9,1.0,1.0
220,22,0,0.32,0.32
221,22,1,0.36,0.36
222,22,2,0.42,0.41999999999999993
223,22,3,1.0,1.0
224,22,4,1.0,1.0
225,22,5,1.0,1.0
226,22,6,1.0,1.0
227,22,7,1.0,1.0
228,22,8,1.0,1.0
229,22,9,1.0,1.0
230,23,0,0.32,0.32
231,23,1,0.33,0.33
232,23,2,0.44,0.44
233,23,3,1.0,1.0
234,23,4,1.0,1.0
235,23,5,1.0,1.0
236,23,6,1.0,1.0
237,23,7,1.0,1.0
238,23,8,1.0,1.0
239,23,9,1.0,1.0
