,layer,position,acc,f1
68,3,2,0.64,0.71875
69,3,3,0.64,0.71875
70,3,4,0.64,0.71875
71,3,5,1.0,1.0
72,3,6,1.0,1.0
73,3,7,1.0,1.0
74,3,8,1.0,1.0
75,3,9,1.0,1.0
76,3,10,1.0,1.0
77,3,11,1.0,1.0
78,3,12,1.0,1.0
79,3,13,0.66,0.711864406779661
80,3,14,0.68,0.7241379310344827
81,3,15,0.72,0.7407407407407408
82,3,16,0.84,0.8571428571428571
83,3,17,0.8,0.8275862068965518
84,3,18,0.64,0.689655172413793
85,3,19,0.6,0.6296296296296297
86,3,20,0.8,0.8333333333333334
87,3,21,0.78,0.8135593220338982
88,4,0,0.4,0.0
89,4,1,0.64,0.71875
90,4,2,0.64,0.71875
91,4,3,0.64,0.71875
92,4,4,0.64,0.71875
93,4,5,1.0,1.0
94,4,6,1.0,1.0
95,4,7,1.0,1.0
96,4,8,1.0,1.0
97,4,9,1.0,1.0
98,4,10,1.0,1.0
99,4,11,1.0,1.0
100,4,12,1.0,1.0
101,4,13,0.72,0.7586206896551724
102,4,14,0.96,0.9655172413793104
103,4,15,0.94,0.9473684210526316
104,4,16,0.94,0.9473684210526316
105,4,17,0.92,0.9310344827586207
106,4,18,0.64,0.689655172413793
107,4,19,0.8,0.8387096774193549
108,4,20,0.92,0.9333333333333333
109,4,21,1.0,1.0
110,5,0,0.4,0.0
111,5,1,0.64,0.71875
112,5,2,0.64,0.71875
113,5,3,0.64,0.71875
114,5,4,0.64,0.71875
115,5,5,1.0,1.0
116,5,6,1.0,1.0
117,5,7,1.0,1.0
118,5,8,1.0,1.0
119,5,9,1.0,1.0
120,5,10,1.0,1.0
121,5,11,1.0,1.0
122,5,12,1.0,1.0
123,5,13,0.72,0.75
124,5,14,0.96,0.9655172413793104
125,5,15,0.98,0.983050847457627
126,5,16,0.96,0.9655172413793104
127,5,17,0.96,0.9655172413793104
128,5,18,0.8,0.8148148148148148
129,5,19,0.86,0.8852459016393444
130,5,20,1.0,1.0
131,5,21,1.0,1.0
132,6,0,0.4,0.0
133,6,1,0.64,0.71875
134,6,2,0.64,0.71875
135,6,3,0.64,0.71875
136,6,4,0.64,0.71875
137,6,5,1.0,1.0
138,6,6,1.0,1.0
139,6,7,1.0,1.0
140,6,8,1.0,1.0
141,6,9,1.0,1.0
142,6,10,1.0,1.0
143,6,11,1.0,1.0
144,6,12,1.0,1.0
145,6,13,0.68,0.7241379310344827
146,6,14,1.0,1.0
147,6,15,1.0,1.0
148,6,16,0.98,0.983050847457627
149,6,17,0.94,0.9491525423728815
150,6,18,0.7,0.7272727272727272
151,6,19,1.0,1.0
152,6,20,0.98,0.983050847457627
153,6,21,1.0,1.0
154,7,0,0.4,0.0
155,7,1,0.64,0.71875
156,7,2,0.64,0.71875
157,7,3,0.64,0.71875
158,7,4,0.64,0.71875
159,7,5,1.0,1.0
160,7,6,1.0,1.0
161,7,7,1.0,1.0
162,7,8,1.0,1.0
163,7,9,1.0,1.0
164,7,10,1.0,1.0
165,7,11,1.0,1.0
166,7,12,1.0,1.0
167,7,13,0.7,0.7368421052631577
168,7,14,0.94,0.9491525423728815
169,7,15,0.96,0.9655172413793104
170,7,16,1.0,1.0
171,7,17,0.9,0.9152542372881356
172,7,18,0.78,0.8135593220338982
173,7,19,0.88,0.8928571428571429
174,7,20,1.0,1.0
175,7,21,1.0,1.0
176,8,0,0.4,0.0
177,8,1,0.64,0.71875
178,8,2,0.64,0.71875
179,8,3,0.64,0.71875
180,8,4,0.64,0.71875
181,8,5,1.0,1.0
182,8,6,1.0,1.0
183,8,7,1.0,1.0
184,8,8,1.0,1.0
185,8,9,1.0,1.0
186,8,10,1.0,1.0
187,8,11,1.0,1.0
188,8,12,1.0,1.0
189,8,13,0.72,0.7586206896551724
190,8,14,0.96,0.9655172413793104
191,8,15,0.98,0.983050847457627
192,8,16,1.0,1.0
193,8,17,0.84,0.8620689655172413
194,8,18,0.84,0.8571428571428571
195,8,19,0.94,0.9473684210526316
196,8,20,1.0,1.0
197,8,21,1.0,1.0
198,9,0,0.4,0.0
199,9,1,0.64,0.71875
200,9,2,0.64,0.71875
201,9,3,0.64,0.71875
202,9,4,0.64,0.71875
203,9,5,1.0,1.0
204,9,6,1.0,1.0
205,9,7,1.0,1.0
206,9,8,1.0,1.0
207,9,9,1.0,1.0
208,9,10,1.0,1.0
209,9,11,1.0,1.0
210,9,12,1.0,1.0
211,9,13,0.7,0.7457627118644068
212,9,14,0.96,0.9666666666666667
213,9,15,1.0,1.0
214,9,16,0.98,0.983050847457627
215,9,17,0.9,0.912280701754386
216,9,18,0.86,0.8771929824561403
217,9,19,0.9,0.9090909090909091
218,9,20,1.0,1.0
219,9,21,1.0,1.0
220,10,0,0.4,0.0
221,10,1,0.64,0.71875
222,10,2,0.64,0.71875
223,10,3,0.64,0.71875
224,10,4,0.64,0.71875
225,10,5,1.0,1.0
226,10,6,1.0,1.0
227,10,7,1.0,1.0
228,10,8,1.0,1.0
229,10,9,1.0,1.0
230,10,10,1.0,1.0
231,10,11,1.0,1.0
232,10,12,1.0,1.0
233,10,13,0.78,0.8070175438596491
234,10,14,0.96,0.9655172413793104
235,10,15,1.0,1.0
236,10,16,0.98,0.983050847457627
237,10,17,0.9,0.912280701754386
238,10,18,0.94,0.9473684210526316
239,10,19,0.94,0.9473684210526316
240,10,20,1.0,1.0
241,10,21,1.0,1.0
242,11,0,0.4,0.0
243,11,1,0.64,0.71875
244,11,2,0.64,0.71875
245,11,3,0.64,0.71875
246,11,4,0.64,0.71875
247,11,5,1.0,1.0
248,11,6,1.0,1.0
249,11,7,1.0,1.0
250,11,8,1.0,1.0
251,11,9,1.0,1.0
252,11,10,1.0,1.0
253,11,11,1.0,1.0
254,11,12,1.0,1.0
255,11,13,0.76,0.793103448275862
256,11,14,0.98,0.983050847457627
257,11,15,1.0,1.0
258,11,16,1.0,1.0
259,11,17,0.92,0.9310344827586207
260,11,18,0.94,0.9473684210526316
261,11,19,0.96,0.9666666666666667
262,11,20,0.98,0.983050847457627
263,11,21,1.0,1.0
