,layer,position,acc,f1
0,0,0,0.4,0.0
1,0,1,0.64,0.71875
2,0,2,0.68,0.6363636363636364
3,0,3,0.64,0.71875
4,0,4,0.68,0.6363636363636364
5,0,5,1.0,1.0
6,0,6,1.0,1.0
7,0,7,1.0,1.0
8,0,8,0.7,0.6808510638297872
9,0,9,0.84,0.8823529411764706
10,0,10,0.4,0.0
11,0,11,0.86,0.8955223880597014
12,0,12,0.4,0.0
13,0,13,0.52,0.5714285714285715
14,0,14,0.54,0.4651162790697674
15,0,15,0.42,0.1212121212121212
16,0,16,0.72,0.7666666666666667
17,0,17,0.76,0.8333333333333333
18,0,18,0.54,0.5818181818181818
19,0,19,0.56,0.5
20,0,20,0.6,0.6551724137931035
21,0,21,0.42,0.06451612903225806
22,1,0,0.4,0.0
23,1,1,0.64,0.71875
24,1,2,0.64,0.71875
25,1,3,0.64,0.71875
26,1,4,0.64,0.71875
27,1,5,1.0,1.0
28,1,6,1.0,1.0
29,1,7,1.0,1.0
30,1,8,1.0,1.0
31,1,9,1.0,1.0
32,1,10,0.98,0.9836065573770492
33,1,11,1.0,1.0
34,1,12,0.84,0.8823529411764706
35,1,13,0.56,0.6071428571428571
36,1,14,0.54,0.5660377358490566
37,1,15,0.7,0.7540983606557377
38,1,16,0.84,0.8620689655172413
39,1,17,0.76,0.8333333333333333
40,1,18,0.56,0.5925925925925926
41,1,19,0.64,0.7
42,1,20,0.68,0.7333333333333333
43,1,21,0.6,0.6551724137931035
44,2,0,0.4,0.0
45,2,1,0.64,0.71875
46,2,2,0.64,0.71875
47,2,3,0.64,0.71875
48,2,4,0.64,0.71875
49,2,5,1.0,1.0
50,2,6,1.0,1.0
51,2,7,1.0,1.0
52,2,8,1.0,1.0
53,2,9,1.0,1.0
54,2,10,1.0,1.0
55,2,11,1.0,1.0
56,2,12,1.0,1.0
57,2,13,0.56,0.6071428571428571
58,2,14,0.72,0.75
59,2,15,0.66,0.7017543859649122
60,2,16,0.96,0.9655172413793104
61,2,17,0.74,0.7868852459016393
62,2,18,0.58,0.6440677966101694
63,2,19,0.66,0.7017543859649122
64,2,20,0.94,0.9523809523809523
65,2,21,0.78,0.819672131147541
66,3,0,0.4,0.0
67,3,1,0.64,0.71875
